Timestamp, COUNTER_MEMS, INTERPOLATED_MEMS, Q0, Q1, Q2, Q3, ACCX, ACCY, ACCZ, MAGX, MAGY, MAGZ
1572913278.0911, 11, 0, 0.438176, -0.526733, -0.446411, -0.575562, 1.00148, 0.059083, 0.027344, -75.965515, -72.675669, 63.852903
1572913278.1066, 12, 0, 0.438307, -0.526794, -0.446289, -0.5755, 0.992691, 0.053223, 0.040528, -74.918746, -73.871977, 63.703365
1572913278.1221, 13, 0, 0.438445, -0.526917, -0.446167, -0.575378, 1.00148, 0.059083, 0.027344, -76.563668, -73.124285, 63.404288
1572913278.1376, 14, 0, 0.438513, -0.526978, -0.446106, -0.575317, 0.992691, 0.053223, 0.040528, -75.068284, -74.171054, 63.553826
1572913278.1531, 15, 0, 0.438307, -0.526794, -0.446289, -0.5755, 0.990738, 0.048829, 0.045899, -75.367361, -74.320592, 63.703365
1572913278.1686, 16, 0, 0.438513, -0.526978, -0.446106, -0.575317, 0.992691, 0.053223, 0.040528, -75.068284, -74.171054, 63.553826
1572913278.1843, 17, 0, 0.438469, -0.526978, -0.446228, -0.575256, 0.990738, 0.048829, 0.045899, -74.769207, -73.722438, 65.497826
1572913278.1998, 18, 0, 0.438487, -0.526978, -0.446289, -0.575195, 0.984878, 0.049317, 0.042969, -75.068284, -72.227054, 64.301518
1572913278.2153, 19, 0, 0.438629, -0.526978, -0.446228, -0.575134, 0.985855, 0.050782, 0.047852, -75.965515, -75.217823, 63.852903
1572913278.2309, 20, 0, 0.438556, -0.527039, -0.446228, -0.575134, 0.984878, 0.049317, 0.042969, -75.068284, -72.227054, 64.301518
1572913278.2466, 21, 0, 0.438574, -0.527039, -0.446289, -0.575073, 0.985855, 0.050782, 0.047852, -75.965515, -75.217823, 63.852903
1572913278.2623, 22, 0, 0.438745, -0.526978, -0.44635, -0.574951, 0.985855, 0.045899, 0.041505, -73.871977, -73.423362, 63.553826
1572913278.278, 23, 0, 0.438832, -0.527039, -0.44635, -0.574829, 0.991226, 0.058595, 0.033204, -75.516899, -73.423362, 63.105211
1572913278.2935, 24, 0, 0.439054, -0.527039, -0.446289, -0.574707, 0.985855, 0.045899, 0.041505, -73.871977, -73.423362, 63.553826
1572913278.309, 25, 0, 0.439214, -0.527039, -0.446289, -0.574585, 0.991226, 0.058595, 0.033204, -74.918746, -73.5729, 64.15198
1572913278.3246, 26, 0, 0.439214, -0.527039, -0.446289, -0.574585, 0.985855, 0.045411, 0.050294, -76.264591, -73.423362, 64.301518
1572913278.3403, 27, 0, 0.43914, -0.5271, -0.446289, -0.574585, 1.005386, 0.027344, 0.036622, -75.068284, -72.974746, 63.852903
1572913278.356, 28, 0, 0.439209, -0.527161, -0.446228, -0.574524, 0.985855, 0.045411, 0.050294, -75.516899, -74.171054, 64.301518
1572913278.3717, 29, 0, 0.439186, -0.527283, -0.446106, -0.574524, 1.005386, 0.027344, 0.036622, -76.862745, -72.376593, 64.15198
1572913278.3872, 30, 0, 0.43914, -0.5271, -0.446289, -0.574585, 0.992203, 0.047364, 0.038575, -75.666438, -73.5729, 62.507057
1572913278.4027, 31, 0, 0.439107, -0.527283, -0.446106, -0.574585, 1.005386, 0.027344, 0.036622, -76.862745, -72.376593, 64.15198
1572913278.4182, 32, 0, 0.439027, -0.527283, -0.446106, -0.574646, 0.992203, 0.047364, 0.038575, -75.516899, -74.171054, 64.301518
1572913278.4337, 33, 0, 0.439082, -0.527222, -0.446045, -0.574707, 0.992691, 0.052247, 0.039551, -74.171054, -73.124285, 62.955673
